Underliggande tillgång;Ticker;Indexnamn;MS_Asset
Oatly Group;OTLY;Oatly Group;OTLY_US_Equity
Okeanis Eco Tankers;OET.OL;Okeanis Eco Tankers;OET_NO_Equity
Okta;OKTA;Okta;OKTA_US_Equity
Option Care Health;OPCH;Option Care Health;OPCH_US_Equity
Oracle;ORCL;Oracle;ORCL_US_Equity
Orexo;ORX.ST;Orexo;ORX_SS_Equity
Orron Energy;ORRON.ST;Orron Energy;ORRON_SS_Equity
Ovintiv;OVV;Ovintiv;OVV_US_Equity
Ovzon;OVZON.ST;Ovzon;OVZON_SS_Equity
PACCAR;PCAR;PACCAR;PCAR_US_Equity
PDD Holdings;PDD;PDD Holdings;PDD_US_Equity
Palantir Technologies;PLTR;Palantir Technologies;PLTR_US_Equity
Palladium Mar26;PA=F;Palladium Mar26;PAH6_Comdty
Palo Alto Networks;PANW;Palo Alto Networks;PANW_US_Equity
Pandox;PNDX-B.ST;Pandox;PNDXB_SS_Equity
Paradox Interactive;PDX.ST;Paradox Interactive;PDX_SS_Equity
Paramount Global;PSKY;Paramount Global;PSKY_US_Equity
PayPal Holdings;PYPL;PayPal Holdings;PYPL_US_Equity
Peab;PEAB-B.ST;Peab;PEABB_SS_Equity
PennyMac Financial Services;PFSI;PennyMac Financial Services;PFSI_US_Equity
PepsiCo;PEP;PepsiCo;PEP_US_Equity
Permian Resources;PR;Permian Resources;PR_US_Equity
Petrobras;PBR;Petrobras;PBR_US_Equity
Pexip Holding;PXPHF;Pexip Holding;PXPHF_US_Equity
Pfizer;PFE;Pfizer;PFE_US_Equity
Pinterest;PINS;Pinterest;PINS_US_Equity
Platinum Apr26;PL=F;Platinum Apr26;PLJ6_Comdty
Platzer Fastigheter Holding;PLAZ-B.ST;Platzer Fastigheter Holding;PLAZB_SS_Equity
Plug Power;PLUG;Plug Power;PLUG_US_Equity
Porsche Vz.;P911.DE;Porsche Vz.;P911_GY_Equity
PowerCell Sweden;PCELL.ST;PowerCell Sweden;PCELL_SS_Equity
Proact IT;PACT.ST;Proact IT;PACT_SS_Equity
Prosus;PROSY;Prosus;PROSY_US_Equity
Puma;PUM.DE;Puma;PUM_GY_Equity
QT Group;QTCOM.HE;QT Group;QTCOM_FH_Equity
Qualcomm;QCOM;Qualcomm;QCOM_US_Equity
Quanta Services;PWR;Quanta Services;PWR_US_Equity
RTX;RTX;RTX;RTX_US_Equity
Ratos B;RATO-B.ST;Ratos B;RATOB_SS_Equity
RaySearch Laboratories;RAY-B.ST;RaySearch Laboratories;RAYB_SS_Equity
RealReal;REAL;RealReal;REAL_US_Equity
Realty Income;O;Realty Income;O_US_Equity
Rejlers;REJL-B.ST;Rejlers;REJLB_SS_Equity
Renault;RNO.PA;Renault;RNO_FP_Equity
Revenio Group;REG1V.HE;Revenio Group;REG1V_FH_Equity
Revvity;RVTY;Revvity;RVTY_US_Equity
Rheinmetall;RHM.DE;Rheinmetall;RHM_GY_Equity
Riot Platforms;RIOT;Riot Platforms;RIOT_US_Equity
Rivian Automotive;RIVN;Rivian Automotive;RIVN_US_Equity
Robinhood Markets;HOOD;Robinhood Markets;HOOD_US_Equity
Roblox;RBLX;Roblox;RBLX_US_Equity
